construct,promoter,name,ts,miR,ts_num,ts_kind,ts_loc,miR_loc,design,group,pKG
RC252,EF1a,EF1a-Halo(miRE.FF4)-mp53-TS.FF6x1-bGH,FF6x1,miRE.FF4,1,NT,3',CDS,1,controller,0
RC253,EF1a,EF1a-Halo(miRE.FF4)-mp53-TS.FF4x1-bGH,FF4x1,miRE.FF4,1,T,3',CDS,1,controller,0
RC254,EF1a,EF1a-Halo(miRE.Trp53.1)-mp53-bGH,mp53,miRE.Trp53.1,1,T,CDS,CDS,1,controller,0
RC255,EF1a,EF1a-Halo(miR.shTrp53)-mp53-bGH,mp53,miR.shTrp53,1,T,CDS,CDS,1,controller,0
RC256,EF1a,EF1a-FXN-P2A-mRuby2-bGH,none,none,0,na,na,na,0,base,3189
RC257,EF1a,EF1a-FXN-P2A-mRuby2(miRE.FF4)-TS.FF6x1-bGH,FF6x1,miRE.FF4,1,NT,3',CDS,1,controller,3190
RC258,EF1a,EF1a-FXN-P2A-mRuby2(miRE.FF4)-TS.FF4x1-bGH,FF4x1,miRE.FF4,1,T,3',CDS,1,controller,3191
RC259,EF1a,EF1a-CHD2-P2A-mRuby2-bGH,none,none,0,na,na,na,0,base,0
RC260,EF1a,EF1a-CHD2-P2A-mRuby2(miRE.FF4)-TS.FF6x1-bGH,FF6x1,miRE.FF4,1,NT,3',CDS,1,controller,0
RC261,EF1a,EF1a-CHD2-P2A-mRuby2(miRE.FF4)-TS.FF4x1-bGH,FF4x1,miRE.FF4,1,T,3',CDS,1,controller,0
RC262,EF1a,EF1a-EGFP-FMRP-bGH,none,none,0,na,na,na,0,base,3076
RC263,EF1a,EF1a-EGFP(miRE.FF4)-FMRP-TS.FF6x1-bGH,FF6x1,miRE.FF4,1,NT,3',CDS,1,controller,3077
RC264,EF1a,EF1a-EGFP(miRE.FF4)-FMRP-TS.FF4x1-bGH,FF4x1,miRE.FF4,1,T,3',CDS,1,controller,3078
RC271,EF1a,EF1a-Cre-P2A-mRuby2-bGH,none,none,0,na,na,na,0,base,3055
RC272,EF1a,EF1a-Cre-P2A-mRuby2(miRE.FF4)-TS.FF6x1-bGH,FF6x1,miRE.FF4,1,NT,3',CDS,1,controller,3056
RC273,EF1a,EF1a-Cre-P2A-mRuby2(miRE.FF4)-TS.FF4x1-bGH,FF4x1,miRE.FF4,1,T,3',CDS,1,controller,3057
RC277,EF1a,EF1a-mGL(miRE.FF4)-TS.FF6x1-bGH,FF6x1,miRE.FF4,1,NT,3',CDS,1,controller,3275
RC278,EF1a,EF1a-mGL(miRE.FF4)-TS.FF4x1-bGH,FF4x1,miRE.FF4,1,T,3',CDS,1,controller,3276
RC279,hPGK,hPGK-mGL(miRE.FF4)-TS.FF6x1-bGH,FF6x1,miRE.FF4,1,NT,3',CDS,1,controller,3277
RC280,hPGK,hPGK-mGL(miRE.FF4)-TS.FF4x1-bGH,FF4x1,miRE.FF4,1,T,3',CDS,1,controller,3278
RC281,TRE3G,TRE3G-FXN-P2A-mRuby2-bGH,none,none,0,na,na,na,0,base,3640
RC282,TRE3G,TRE3G-FXN-P2A-mRuby2(miRE.FF4)-TS.FF6x1-bGH,FF6x1,miRE.FF4,1,NT,3',CDS,1,controller,3641
RC283,TRE3G,TRE3G-FXN-P2A-mRuby2(miRE.FF4)-TS.FF4x1-bGH,FF4x1,miRE.FF4,1,T,3',CDS,1,controller,3642
RC284,TRE3G,TRE3G-EGFP-FMRP-bGH,none,none,0,na,na,na,0,base,3791
RC285,TRE3G,TRE3G-EGFP(miRE.FF4)-FMRP-TS.FF6x1-bGH,FF6x1,miRE.FF4,1,NT,3',CDS,1,controller,3792
RC286,TRE3G,TRE3G-EGFP(miRE.FF4)-FMRP-TS.FF4x1-bGH,FF4x1,miRE.FF4,1,T,3',CDS,1,controller,3793
filler,na,none,na,na,0,na,na,na,0,un,0
